NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,서울특별시 성동구 옥수동,475,475,0,한남 더 리버 오피스텔,27.01,202306,1,"18,500",3,-,-,2004,독서당로 166,20230630,중개거래,서울 성동구
2,서울특별시 성동구 옥수동,475,475,0,한남 더 리버 오피스텔,27.01,202306,1,"18,500",3,-,-,2004,독서당로 166,-,중개거래,서울 성동구
3,서울특별시 성동구 옥수동,475,475,0,한남 더 리버 오피스텔,27.01,202307,15,"19,400",9,-,-,2004,독서당로 166,-,중개거래,서울 성동구
4,서울특별시 성동구 옥수동,475,475,0,한남 더 리버 오피스텔,27.01,202307,28,"20,500",9,-,-,2004,독서당로 166,-,중개거래,서울 성동구
5,서울특별시 성동구 옥수동,475,475,0,한남 더 리버 오피스텔,27.01,202308,14,"22,000",10,-,-,2004,독서당로 166,-,중개거래,서울 성동구
6,서울특별시 성동구 옥수동,475,475,0,한남 더 리버 오피스텔,27.01,202308,19,"18,500",6,-,-,2004,독서당로 166,-,중개거래,서울 성동구
7,서울특별시 성동구 옥수동,475,475,0,한남 더 리버 오피스텔,30.75,202308,29,"20,000",9,-,-,2004,독서당로 166,-,직거래,-
8,서울특별시 성동구 옥수동,475,475,0,한남 더 리버 오피스텔,27.01,202312,23,"19,000",3,-,-,2004,독서당로 166,-,중개거래,서울 성동구
9,서울특별시 성동구 옥수동,475,475,0,한남 더 리버 오피스텔,25.6,202312,28,"18,500",8,-,-,2004,독서당로 166,-,중개거래,서울 성동구
10,서울특별시 성동구 옥수동,475,475,0,한남 더 리버 오피스텔,27.01,202402,27,"20,000",2,개인,개인,2004,독서당로 166,-,중개거래,서울 성동구
11,서울특별시 성동구 옥수동,475,475,0,한남 더 리버 오피스텔,39.89,202404,12,"35,000",10,법인,개인,2004,독서당로 166,-,중개거래,서울 성동구
12,서울특별시 종로구 적선동,156,156,0,광화문 플래티넘,38.64,202306,21,"23,000",14,-,-,2003,새문안로5가길 28,-,중개거래,서울 종로구
13,서울특별시 종로구 적선동,156,156,0,광화문 플래티넘,43.47,202307,14,"31,000",4,-,-,2003,새문안로5가길 28,-,중개거래,서울 종로구
14,서울특별시 종로구 적선동,156,156,0,광화문 플래티넘,45.36,202311,17,"34,500",12,-,-,2003,새문안로5가길 28,-,중개거래,서울 종로구
15,서울특별시 종로구 적선동,156,156,0,광화문 플래티넘,51.24,202312,27,"35,000",4,-,-,2003,새문안로5가길 28,-,중개거래,"서울 용산구, 서울 종로구"
16,서울특별시 종로구 적선동,156,156,0,광화문 플래티넘,45.36,202401,16,"30,000",7,개인,법인,2003,새문안로5가길 28,-,중개거래,서울 종로구
17,서울특별시 종로구 적선동,156,156,0,광화문 플래티넘,51.24,202401,25,"38,500",6,법인,개인,2003,새문안로5가길 28,-,중개거래,"서울 마포구, 서울 종로구"
18,서울특별시 종로구 적선동,156,156,0,광화문 플래티넘,51.24,202403,13,"33,800",7,개인,법인,2003,새문안로5가길 28,-,중개거래,서울 종로구
19,서울특별시 종로구 적선동,156,156,0,광화문 플래티넘,51.24,202403,13,"31,700",7,법인,법인,2003,새문안로5가길 28,-,중개거래,서울 종로구
20,서울특별시 종로구 적선동,156,156,0,광화문 플래티넘,51.24,202403,13,"31,600",7,법인,법인,2003,새문안로5가길 28,-,중개거래,서울 종로구
21,서울특별시 종로구 적선동,156,156,0,광화문 플래티넘,51.24,202403,13,"31,700",7,법인,법인,2003,새문안로5가길 28,-,중개거래,서울 종로구
22,서울특별시 종로구 필운동,285-5,285,5,파크뷰타워,24.3,202307,27,"17,600",7,-,-,1998,사직로 96,-,중개거래,서울 종로구
23,서울특별시 종로구 필운동,285-5,285,5,파크뷰타워,24.3,202308,10,"17,700",8,-,-,1998,사직로 96,-,중개거래,서울 종로구
24,서울특별시 종로구 필운동,285-5,285,5,파크뷰타워,24.3,202403,5,"17,400",2,개인,개인,1998,사직로 96,-,중개거래,서울 종로구
25,서울특별시 종로구 필운동,285-5,285,5,파크뷰타워,25.86,202404,1,"19,500",7,개인,개인,1998,사직로 96,-,중개거래,서울 종로구
26,서울특별시 종로구 사직동,9,9,0,광화문 스페이스본,39.54,202305,16,"33,500",4,-,-,2008,사직로8길 4,-,직거래,-
27,서울특별시 종로구 사직동,9,9,0,광화문 스페이스본,39.54,202306,21,"37,800",2,-,-,2008,사직로8길 4,20230711,중개거래,서울 종로구
28,서울특별시 종로구 사직동,9,9,0,광화문 스페이스본,39.54,202306,21,"37,800",2,-,-,2008,사직로8길 4,-,중개거래,서울 종로구
29,서울특별시 종로구 사직동,9,9,0,광화문 스페이스본,39.54,202306,28,"41,000",7,-,-,2008,사직로8길 4,-,중개거래,서울 종로구
30,서울특별시 종로구 사직동,9,9,0,광화문 스페이스본,39.54,202307,17,"40,000",8,-,-,2008,사직로8길 4,-,중개거래,서울 종로구
31,서울특별시 종로구 사직동,9,9,0,광화문 스페이스본,39.54,202307,27,"39,000",4,-,-,2008,사직로8길 4,-,중개거래,서울 종로구
32,서울특별시 종로구 사직동,9,9,0,광화문 스페이스본,39.54,202308,22,"39,000",7,-,-,2008,사직로8길 4,-,중개거래,서울 종로구
33,서울특별시 종로구 사직동,9,9,0,광화문 스페이스본,39.54,202309,20,"38,500",7,-,-,2008,사직로8길 4,-,중개거래,서울 종로구
34,서울특별시 종로구 사직동,9,9,0,광화문 스페이스본,39.54,202309,26,"40,500",6,-,-,2008,사직로8길 4,-,중개거래,서울 종로구
35,서울특별시 종로구 사직동,9,9,0,광화문 스페이스본,39.54,202310,18,"42,500",8,-,-,2008,사직로8길 4,-,중개거래,서울 종로구
36,서울특별시 종로구 내수동,74,74,0,광화문시대,34.9,202305,30,"30,500",8,-,-,2004,사직로8길 42,-,중개거래,서울 종로구
37,서울특별시 종로구 내수동,72,72,0,경희궁의 아침 3단지,37.5,202306,2,"30,000",3,-,-,2004,사직로8길 34,-,중개거래,서울 종로구
38,서울특별시 종로구 내수동,75,75,0,용비어천가,37.56,202306,7,"39,300",15,-,-,2004,새문안로3길 36,-,중개거래,서울 종로구
39,서울특별시 종로구 내수동,75,75,0,용비어천가,37.67,202306,9,"26,900",2,-,-,2004,새문안로3길 36,-,중개거래,서울 종로구
40,서울특별시 종로구 내수동,72,72,0,경희궁의 아침 3단지,37.5,202306,10,"30,700",7,-,-,2004,사직로8길 34,-,중개거래,서울 종로구
41,서울특별시 종로구 내수동,72,72,0,경희궁의 아침 3단지,37.5,202306,30,"30,900",3,-,-,2004,사직로8길 34,-,중개거래,서울 종로구
