NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 종로구 청운동,Jan-74,74,1,우진빌딩,81.9,42.612,202306,22,"90,000",3,-,-,1991,자하문로 114,-,중개거래,서울 종로구 서울 중구,-
2,서울특별시 종로구 청운동,Jan-74,74,1,우진빌딩,82.69,43.023,202306,22,"90,000",2,-,-,1991,자하문로 114,-,중개거래,서울 종로구 서울 중구,-
3,서울특별시 종로구 청운동,01월 30일,30,1,라임카운티,149.7,147.43,202309,8,"142,500",3,-,-,2004,자하문로35길 6,-,중개거래,서울 종로구,-
4,서울특별시 종로구 청운동,89-22,89,22,해피빌,75.36,51.69,202310,10,"67,000",4,-,-,2002,자하문로28가길 4,-,중개거래,서울 종로구,-
5,서울특별시 종로구 청운동,50-30,50,30,청운이지라이프,71.7,50.5272,202310,23,"63,000",3,-,-,2019,자하문로 121-1,-,직거래,-,-
6,서울특별시 종로구 청운동,08월 15일,8,15,동성빌리지,163.77,136.83,202402,6,"84,000",-1,개인,개인,1989,자하문로35길 10,-,중개거래,서울 종로구,24.03.19
7,서울특별시 종로구 청운동,3,3,0,인텔빌라BC동,233.64,369.82,202402,21,"255,000",1,개인,개인,1990,자하문로36길 16-11,-,중개거래,서울 종로구,-
8,서울특별시 종로구 청운동,50-30,50,30,청운이지라이프,71.7,50.5272,202402,23,"60,700",2,개인,개인,2019,자하문로 121-1,-,중개거래,서울 종로구,24.04.26
9,서울특별시 종로구 청운동,52-134,52,134,청운힐하우스(4동),132.95,99.73,202402,26,"105,000",1,개인,개인,2021,자하문로 131-28,-,중개거래,서울 종로구,-
10,서울특별시 종로구 청운동,1,1,0,청운벽산빌리지,157.25,152.4,202403,20,"137,000",2,개인,개인,1988,자하문로36길 16-14,-,중개거래,서울 종로구,-
11,서울특별시 종로구 청운동,1,1,0,청운벽산빌리지,152.33,147.63,202403,24,"157,000",3,개인,개인,1988,자하문로36길 16-14,-,중개거래,서울 종로구,-
12,서울특별시 종로구 청운동,01월 30일,30,1,라임카운티,151.8,149.51,202312,4,"160,000",3,-,-,2004,자하문로35길 6,-,중개거래,서울 용산구,-
13,서울특별시 종로구 청운동,04월 07일,4,7,신구파인힐,207.89,214.64,202312,26,"185,000",2,-,-,2000,자하문로36길 22,-,중개거래,서울 용산구,-
14,서울특별시 종로구 청운동,Jan-74,74,1,우진빌딩,71.82,66.261,202306,20,"70,000",4,-,-,1991,자하문로 114,-,중개거래,서울 종로구 서울 중구,-
15,서울특별시 용산구 후암동,292,292,0,용산베스트빌,30.77,22.44,202305,24,"55,000",5,-,-,2015,후암로4길 61-2,-,중개거래,서울 용산구,-
16,서울특별시 용산구 후암동,60-23,60,23,예인아트빌(60-23),49.71,33.058,202306,1,"65,000",5,-,-,2007,후암로30길 12,-,중개거래,서울 용산구,-
17,서울특별시 용산구 후암동,297-13,297,13,시온쉐르빌,59.83,33.27,202306,3,"58,000",1,-,-,2014,후암로28바길 16,-,중개거래,서울 용산구,-
18,서울특별시 용산구 후암동,254-49,254,49,브르넨빌,62.3906,42.67,202306,5,"83,000",2,-,-,2022,두텁바위로25길 7,-,중개거래,서울 용산구,-
19,서울특별시 용산구 후암동,60-23,60,23,예인아트빌(60-23),41.78,26.446,202306,5,"58,000",2,-,-,2007,후암로30길 12,-,중개거래,서울 용산구,-
20,서울특별시 용산구 후암동,43-14,43,14,티엠타운,29.82,19.29,202306,11,"42,000",4,-,-,2015,두텁바위로 147,-,중개거래,서울 용산구,-
21,서울특별시 용산구 후암동,30-181,30,181,예인아트빌(다동),47.5,28.96,202306,16,"60,000",2,-,-,2007,후암로34길 19,-,중개거래,서울 용산구,-
22,서울특별시 용산구 후암동,30-181,30,181,예인아트빌(다동),47.93,29.75,202306,19,"55,000",3,-,-,2007,후암로34길 19,-,중개거래,서울 용산구,-
23,서울특별시 용산구 후암동,250-3,250,3,후암동9Vill,31.72,27.905,202306,21,"55,000",2,-,-,2013,후암로4길 25,-,중개거래,서울 용산구,-
