NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,서울특별시 종로구 청운동,5*,단독,8m미만,62.31,120,202207,9,"100,000",-,-,1966,자하문로33가길,-,중개거래,서울 종로구
2,서울특별시 종로구 청운동,1**,다가구,8m미만,311.97,175.8,202208,30,"205,000",-,-,1995,자하문로30길,-,중개거래,서울 종로구
3,서울특별시 종로구 창성동,1**,단독,8m미만,62.81,125.6,202206,9,"150,000",-,-,1959,자하문로12길,-,중개거래,경기 용인수지구 서울 종로구
4,서울특별시 종로구 창성동,1**,단독,25m미만,101.82,85.9,202207,10,"165,000",-,-,1971,자하문로12길,-,중개거래,서울 종로구
5,서울특별시 종로구 창성동,9*,단독,8m미만,19.83,49.6,202210,15,"64,000",-,-,1936,자하문로14길,-,중개거래,서울 종로구
6,서울특별시 종로구 창성동,1**,단독,8m미만,39.67,62.3,202304,14,"79,500",-,-,1970,자하문로12길,-,중개거래,서울 종로구
7,서울특별시 종로구 통의동,1*,단독,8m미만,140.36,211.6,202207,19,"300,000",-,-,1975,자하문로8길,-,중개거래,서울 종로구
8,서울특별시 종로구 통의동,2*,단독,8m미만,29.09,73.1,202210,22,"95,000",-,-,1970,효자로7길,-,중개거래,서울 종로구
9,서울특별시 종로구 통의동,*,다가구,8m미만,299.54,175.2,202303,15,"370,000",-,-,1970,효자로7길,-,중개거래,서울 종로구
10,서울특별시 종로구 통의동,2*,단독,8m미만,29.09,73.1,202303,21,"95,000",-,-,1970,효자로7길,-,중개거래,서울 종로구
11,서울특별시 종로구 적선동,1*,단독,8m미만,46.28,92.6,202205,25,"101,000",-,-,1992,사직로,-,중개거래,서울 종로구
12,서울특별시 종로구 통인동,3*,단독,8m미만,41.74,82.6,202304,4,"97,000",-,-,1970,자하문로15길,-,중개거래,서울 종로구
13,서울특별시 종로구 통인동,1**,단독,8m미만,66.91,120.7,202304,12,"145,389",-,-,1970,자하문로,20230720,중개거래,서울 종로구
14,서울특별시 종로구 통인동,1**,단독,8m미만,22.47,46.3,202304,12,"54,611",-,-,1970,자하문로,20230720,중개거래,서울 종로구
15,서울특별시 종로구 누상동,3*,단독,8m미만,62.81,108.8,202206,22,"92,500",-,-,1980,옥인3길,-,중개거래,서울 종로구
16,서울특별시 종로구 누상동,1**,단독,8m미만,21.29,39.7,202301,12,"24,150",-,-,1970,필운대로5다길,-,중개거래,서울 종로구
17,서울특별시 종로구 누하동,1**,단독,8m미만,26.94,36.4,202211,2,"35,000",-,-,1963,필운대로5길,20221227,중개거래,서울 종로구
18,서울특별시 종로구 누하동,1**,단독,8m미만,26.94,36.4,202211,2,"35,000",-,-,1963,필운대로5길,-,중개거래,서울 종로구
19,서울특별시 종로구 누하동,1**,단독,8m미만,50.45,89.3,202304,29,"110,000",-,-,1970,필운대로,-,중개거래,서울 종로구
20,서울특별시 종로구 옥인동,4*,단독,8m미만,81.02,163.8,202206,13,"126,000",-,-,1979,필운대로9가길,20220824,중개거래,서울 종로구
21,서울특별시 종로구 옥인동,4*,단독,8m미만,81.02,160.5,202206,13,"126,000",-,-,1979,필운대로9가길,-,중개거래,서울 종로구
22,서울특별시 종로구 옥인동,4*,단독,8m미만,34.31,107.6,202206,30,"86,000",-,-,1960,옥인5길,-,중개거래,서울 종로구
23,서울특별시 종로구 옥인동,4*,단독,8m미만,34.31,107.6,202206,30,"86,000",-,-,1960,필운대로9가길,20230213,중개거래,서울 종로구
24,서울특별시 종로구 옥인동,9*,단독,8m미만,46.28,84.3,202208,3,"89,850",-,-,2010,필운대로,-,중개거래,서울 종로구
25,서울특별시 종로구 옥인동,3*,단독,8m미만,46.28,99.2,202302,15,"86,000",-,-,1963,자하문로17길,-,중개거래,서울 종로구
26,서울특별시 종로구 옥인동,4*,단독,8m미만,105.51,66.38,202303,8,"84,934",-,-,2023,필운대로11길,-,직거래,-
27,서울특별시 종로구 옥인동,4*,단독,8m미만,49.05,129.3,202304,8,"115,000",-,-,1985,옥인5길,20230608,중개거래,서울 종로구
28,서울특별시 종로구 필운동,2**,단독,8m미만,49.59,82.6,202302,27,"63,000",-,-,1970,사직로,-,중개거래,서울 종로구
29,서울특별시 종로구 사직동,3**,단독,8m미만,42.81,145.5,202206,15,"129,000",-,-,1960,경희궁3가길,-,중개거래,서울 마포구 서울 종로구
30,서울특별시 종로구 신문로2가,*,단독,8m미만,23.24,40,202305,8,"30,000",-,-,1965,사직로6길,-,직거래,-
31,서울특별시 종로구 수송동,3*,단독,8m미만,48.4,82.6,202206,21,"345,000",-,-,1948,율곡로,-,직거래,-
32,서울특별시 종로구 관훈동,8*,단독,8m미만,44.76,72.7,202206,24,"109,000",-,-,1970,인사동14길,-,중개거래,-
33,서울특별시 종로구 인사동,2**,단독,,49.59,100.51,202302,17,"480,420",-,-,1970,종로11길,20240220,직거래,-
34,서울특별시 종로구 낙원동,2**,단독,8m미만,453.86,127.9,202302,22,"330,000",-,-,1970,수표로,-,중개거래,서울 광진구 서울 종로구
